rank,ticker,sector,composite_score,value_z,growth_z,quality_z,momentum_z,eps_momentum_z,piotroski,altman_zone,altman_zscore,rsi,price,ma_50,pct_from_52w_high,above_ma50,passes,pe_ratio,roce,debt_equity,revenue_cagr_3y,eps_cagr_3y
35,ICICIAMC,Financial Services,0.3142,0.0658,-1.7888,3.2588,0.0,0.0353,,,,40.0,3117.4,3265.84,11.6,False,False,44.5,115.0,0.0,17.136808639721558,-55.70014968753429
36,ASHOKLEY,Capital Goods,0.3017,0.8874,0.3058,0.863,-0.4448,-0.1032,7.0,Safe,3.09,46.5,154.8,154.4,25.7,True,False,23.6,39.0,0.09,6.7812949358967645,37.20615991540588
37,BAJAJ-AUTO,Automobile and Auto Components,0.2941,0.7044,-0.2089,0.7785,0.2532,-0.0564,6.0,Safe,5.12,64.2,10522.5,10170.67,1.3,True,True,26.6,38.5,0.0,12.363234027227232,12.686977338082972
38,KIRLOSENG,Capital Goods,0.293,-0.5583,-0.0624,-0.5352,2.724,-0.1032,5.0,Safe,3.79,48.2,2221.7,2048.08,13.3,True,True,66.3,18.7,0.04,11.117076669229276,19.324499174194585
39,HINDALCO,Metals & Mining,0.2574,0.974,0.694,-0.6466,0.3687,-0.1032,5.0,Safe,3.2,39.5,947.8,1024.34,17.1,False,False,21.2,17.0,0.23,13.549440743844766,44.72132096316177
40,TENNIND,Automobile and Auto Components,0.2452,0.3118,0.391,-0.1857,0.8122,-0.1032,5.0,Safe,4.14,39.3,557.25,585.83,14.4,False,False,18.8,22.4,0.0,-2.649166071328257,49.772086966694374
41,GODFRYPHLP,Fast Moving Consumer Goods,0.245,0.8115,0.6552,0.8169,-0.9557,-0.1032,5.0,Safe,4.48,45.2,2133.5,2235.25,41.9,False,False,22.1,38.0,0.04,21.52369425839995,35.320659203224956
42,HDFCAMC,Financial Services,0.2369,0.2486,-0.2064,1.0858,-0.0272,0.0835,,,,47.8,2644.9,2634.13,8.3,True,True,37.5,42.9,0.0,10.38558622453698,14.75818867709686
43,IKS,Information Technology,0.2336,-0.3767,0.6267,1.3086,-0.2874,-0.1032,5.0,Safe,5.7,65.0,1901.9,1720.73,1.4,True,True,56.6,44.0,0.06,25.240643149076746,30.554224572595047
44,FINCABLES,Capital Goods,0.2311,0.6881,-0.3564,-0.6966,1.6236,-0.1032,6.0,Safe,4.55,39.9,1015.4,1074.63,14.7,False,False,24.7,16.6,0.0,12.151120113130908,7.473830159067241
45,BELRISE,Automobile and Auto Components,0.2264,0.3611,0.0,-0.8118,1.6858,-0.1032,6.0,Safe,3.2,52.1,233.92,226.41,5.5,True,True,43.7,13.8,0.24,11.745331221874821,
46,JSWDULUX,Consumer Durables,0.2191,0.3536,1.2047,-0.201,-0.1584,-0.1032,5.0,Safe,3.51,45.7,3003.5,3048.22,17.1,False,False,38.1,23.0,0.03,-1.8124150694969754,78.87177609490928
